"crash_id","crash_datetime","crash_date","latitude","longitude","n_crash_reports","contains_fatality_words","contains_pedestrian_words","contains_matatu_words","contains_motorcycle_words"
2741,2017-07-07 07:21:24,2017-07-07,-1.267198,36.804368,2,0,0,0,0
2742,2017-07-08 07:15:17,2017-07-08,-1.32347878,36.80038537,5,0,0,1,0
2743,2017-07-08 18:45:38,2017-07-08,-1.266482,36.8347195,3,0,0,0,0
2744,2017-07-11 05:52:36,2017-07-11,-1.29248391520282,36.8049949723542,4,1,1,0,0
2745,2017-07-11 06:46:46,2017-07-11,-1.2520115,36.859948,2,0,0,0,0
2746,2017-07-11 07:06:16,2017-07-11,-1.297266,36.8865975,2,0,0,1,0
2747,2017-07-11 07:54:16,2017-07-11,-1.364719,36.911405,2,0,0,1,0
2748,2017-07-12 07:56:29,2017-07-12,-1.3176435,36.91867,2,0,0,1,0
2749,2017-07-12 18:10:41,2017-07-12,-1.226239,36.884136,2,0,0,0,0
2750,2017-07-12 18:12:30,2017-07-12,-1.21986041058661,36.8912588693693,10,0,0,0,0
2751,2017-07-12 18:34:50,2017-07-12,-1.211019,36.9070975,4,0,0,0,0
2752,2017-07-13 06:17:52,2017-07-13,-1.228668925,36.804355325,3,0,0,0,0
2753,2017-07-13 07:17:52,2017-07-13,-1.319344,36.8380535,2,0,0,0,0
2754,2017-07-14 06:01:05,2017-07-14,-1.3648006463778,36.9114824226394,3,0,0,0,0
2755,2017-07-15 05:21:18,2017-07-15,-1.3712205,36.9188695,2,0,0,0,0
2756,2017-07-17 07:09:04,2017-07-17,-1.244991,36.86694635,3,1,0,0,0
2757,2017-07-17 19:42:46,2017-07-17,-1.24470600316242,36.8670973286099,7,0,0,0,0
2758,2017-07-17 19:52:46,2017-07-17,-1.23117100979779,36.8775281732207,5,0,0,0,0
2759,2017-07-17 19:57:26,2017-07-17,-1.211499,36.905582,2,0,0,0,0
2760,2017-07-18 05:58:17,2017-07-18,-1.20458396423429,36.9163002067701,3,0,0,0,0
2761,2017-07-19 14:28:41,2017-07-19,-1.462818,37.012267,3,0,0,0,0
2762,2017-07-19 16:51:11,2017-07-19,-1.182002,36.937491,6,0,0,0,0
2763,2017-07-19 17:05:51,2017-07-19,-1.260327,36.718453,2,0,0,0,0
2764,2017-07-21 06:06:36,2017-07-21,-1.2045975,36.9161875,3,0,0,0,0
2765,2017-07-21 06:32:26,2017-07-21,-1.2858205,36.8187885,8,0,0,0,0
2766,2017-07-21 20:52:48,2017-07-21,-1.218893,36.892208,2,0,0,0,0
2767,2017-07-23 14:14:13,2017-07-23,-1.2628965,36.764919,2,0,0,0,0
2768,2017-07-24 07:01:25,2017-07-24,-1.260286,36.77105,3,0,0,0,0
2769,2017-07-24 17:56:47,2017-07-24,-1.29769,36.871121,2,0,0,0,0
2770,2017-07-25 05:14:18,2017-07-25,-1.285867,36.818659,2,0,0,0,0
2771,2017-07-25 19:27:50,2017-07-25,-1.379238,36.927857,2,0,0,0,0
2772,2017-07-26 13:12:02,2017-07-26,-1.33110586401223,36.8614841250154,5,0,1,1,0
2773,2017-07-27 06:24:24,2017-07-27,-1.267997,36.833427,2,0,0,1,0
2774,2017-07-27 07:23:54,2017-07-27,-1.322163,36.707041,2,0,0,0,0
2775,2017-07-27 07:57:54,2017-07-27,-1.325571,36.794551,3,0,0,0,0
2776,2017-07-27 17:07:36,2017-07-27,-1.274509,36.81225,2,1,0,0,1
2777,2017-07-27 17:24:06,2017-07-27,-1.130569,36.98228,2,0,0,0,0
2778,2017-07-28 07:36:17,2017-07-28,-1.205178,36.915715,2,0,0,0,0
2779,2017-07-28 07:40:47,2017-07-28,-1.508392,37.095374,2,0,0,0,0
2780,2017-07-28 15:22:28,2017-07-28,-1.33028449709122,36.8675469896651,7,0,0,0,0
